i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
305,403,306,404,1,0,1.4737698036488527,84.44078972290329,6.279253018580129,5.72621187880828,0.28587699506827774,0.2843097592845001,1.0055124234487125
89,439,90,440,1,0,0.5048031372237135,28.923089247882128,18.799762387907535,18.600785912313206,0.28326971527382194,0.27467774216495866,1.0312801941691487
165,202,166,203,1,0,0.35496536597325395,20.338017343584134,21.224573639086046,21.113319634243272,0.2760407850012295,0.25497497223166704,1.0826191393813442
262,458,263,459,0,0,1.1485784378943489,65.80869693107513,11.676559684140647,11.04522376780424,0.2684647313906665,0.2188580256024333,1.2266615795865137
222,295,223,296,1,0,0.45678002563974696,26.171567635035032,20.948740721150195,20.76709376058751,0.26230896034909945,0.23891395284858416,1.097922315635296
176,265,177,266,0,0,0.9859417847493521,56.49030311173375,14.236035450918298,13.666393812129893,0.26198401013023115,0.2402850665758311,1.0903050025689054
73,152,74,153,0,1,1.023405094135244,58.636792626138195,13.979449156712537,13.377324472440623,0.2591126484074209,0.14277165021160984,1.8148746478966626
193,242,194,243,1,1,1.1200744577166315,64.17553916756736,12.847683829334565,12.186542635023352,0.25783234322019316,0.13064540395400026,1.9735278503251055
241,349,242,350,1,1,1.2456238902071344,71.36899176953584,11.283193950543328,10.567762896271697,0.2573936909082532,0.15734715061061627,1.6358331873782705
269,393,270,394,0,1,0.6396681241725997,36.65028380414024,19.153480497392774,18.82859948553116,0.2554063684560509,0.16923197674911425,1.5092086812570291
22,494,23,495,0,1,1.4397096993117433,82.4892894946117,8.987433435675314,8.231096916048962,0.25514600403456,0.21927378895954697,1.1635955453008155
261,430,262,431,0,0,0.4022588425787481,23.047733951579644,22.208601215326002,22.059169530012987,0.25499381384186837,0.21127241459213672,1.2069432459232134
412,445,413,446,1,1,1.300369466620568,74.50568224503652,11.04356800135137,10.281756662529876,0.251573694143334,0.2137861088504538,1.1767541656287555
147,236,148,237,0,0,1.3296736893936436,76.18469053184491,10.85127992707619,10.069369880867127,0.24930940642447832,0.2095331997514379,1.1898324786727144
86,454,87,455,0,0,0.7094074073310291,40.64605039538603,18.89449648994375,18.50078047631885,0.24749927985159678,0.2172974712236798,1.138988311542881
60,103,61,104,1,1,0.557186092584913,31.924411508501052,20.922647043526563,20.65304672632188,0.24638792958313338,0.16222473861637318,1.518806143160373
57,60,58,61,1,0,0.583996652823425,33.46054345654905,20.616620034963667,20.324893931962293,0.2459530000693534,0.22791805732099774,1.079129064894386
46,120,47,121,1,0,1.617502247016665,92.67605210698206,7.5079301820906235,6.715821559299856,0.24533505742357156,0.2383996985718148,1.0290913071337948
92,159,93,160,1,1,0.5682909265364453,32.56067162611743,20.873914441942574,20.594157600587828,0.24524907250287997,0.18246377946636438,1.3440972954749604
190,404,191,405,1,1,1.333838140836261,76.42329602349406,11.213908424279868,10.400911942124347,0.24418157885663797,0.16555128082191886,1.4749603726672498
391,442,392,443,0,1,0.4298740835779904,24.62997071107286,23.296303930216972,23.117344298480397,0.23728779782458903,0.22758839241633505,1.0426181902568674
34,218,35,219,0,1,1.6993572621277053,97.36599900482425,7.254475794107471,6.412549842572776,0.23584788824618558,0.0,inf
264,442,265,443,0,0,1.3093048357721568,75.01764118581396,12.664555626833845,11.77913572230326,0.23067231442041805,0.2212657760994278,1.042512396118428
116,348,117,349,0,0,1.152635245570311,66.04113488920405,14.982202733944945,14.166497937443536,0.22697837636204693,0.16220004006983418,1.39937312138963
346,359,347,360,0,1,1.0158494137160834,58.20388402677066,16.757089865629773,16.045807261318867,0.22660104566784234,0.22345546257030427,1.0140770024655288
23,95,24,96,1,1,1.23329432987111,70.66255999902974,14.282174721249573,13.394087218056498,0.22329795201986613,0.12026424113791569,1.8567277347536268
227,338,228,339,0,1,0.6820191880563702,39.07682102256921,21.4410607358374,21.027915535797625,0.22174217696426643,0.2099441956956143,1.0561957963617976
97,125,98,126,0,0,0.3877370454429765,22.21569626475476,25.209753912066226,25.052132296920718,0.22150086923088824,0.18716760791710804,1.1834359144504618
100,287,101,288,0,0,1.247945832681835,71.50202927360834,14.500198644480152,13.577423607400986,0.2188263197836496,0.19795502331479262,1.1054345382065247
61,481,62,482,0,0,1.992956175890572,114.18797763306193,5.139187628341761,4.329920729104658,0.2174655811741313,0.08138657118483218,2.672008145917073
132,318,133,319,1,1,1.1053537699526825,63.332105887163216,16.78846751932088,15.946748363388279,0.21371467641087039,0.15091071615632193,1.416166338972857
41,475,42,476,0,0,0.7476352034308221,42.83634177199083,21.612936992578227,21.113078447595104,0.2108504419712736,0.20342124428322333,1.036521247887495
363,392,364,393,1,0,0.8492817258330765,48.66025850782198,20.43654784352814,19.827875708624,0.20961203041752777,0.20815783180799496,1.006986038415668
176,202,177,203,1,1,1.1314101756632151,64.8250279636573,16.940357694786975,16.051157248675413,0.20860850337496106,0.0,inf
86,366,87,367,1,1,0.8860888659904194,50.76915229478422,20.086610870652674,19.435902124416945,0.20837160397657367,0.2075053930588875,1.0041744019512802
136,318,137,319,1,0,0.4000426412805782,22.92075497064309,26.34859841461471,26.17325476844955,0.2076077128424822,0.16780323159690322,1.2372092650825537
295,497,296,498,1,1,1.7915391155638227,102.6476301544073,8.756921452208783,7.631921515584234,0.2063100186574362,0.16070308357798038,1.2837962661576763
36,264,37,265,0,1,0.8298650078766691,47.54776251692395,21.007722565755486,20.41007759207999,0.2062441535284096,0.1171167543398371,1.7610132272787544
89,398,90,399,0,0,0.761716870295831,43.64316185186506,21.883485071485662,21.358264094989106,0.20616091504060668,0.20125541247734627,1.024374512480814
10,450,11,451,1,1,1.3158678314363939,75.3936731383374,15.063831255669232,14.000314986324565,0.20374235641380573,0.12560511239207958,1.6220864942011177
74,519,75,520,1,0,1.122002458177291,64.28600545686243,18.42024206448374,17.469122629530577,0.19489368918633068,0.19142302175679382,1.0181308778729155
111,485,112,486,1,0,1.6227247545675114,92.97527974812076,12.063340263448511,10.782662037227269,0.19471356903082743,0.17309074700159702,1.124921882907068
286,494,287,495,1,0,1.2938321578859624,74.13112204516962,16.321323542582096,15.20649543799612,0.19402945317274142,0.1723966600888016,1.1254826692860334
362,486,363,487,1,0,1.0808016996540135,61.92537588074098,19.056950543892818,18.14285709769844,0.19380413192256615,0.14311255010334717,1.3542078020593764
170,250,171,251,0,1,1.1279902163933075,64.62907873138496,18.463283990502546,17.499901986027172,0.19373479827978593,0.1848892251775783,1.047842555961343
