i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
238,331,239,332,1,0,1.3742266493654518,78.73738710304482,22.546108343145143,20.8134245179735,0.04999235459567927,0.01757920552280343,2.843834696103307
61,421,62,422,0,0,1.2456951885867527,71.37307686577408,16.59012931338493,15.538084460840146,0.049688671959051016,0.0007891828556219372,62.96217867010365
171,473,172,474,0,1,1.3981339745523589,80.1071759357014,23.47498576294406,21.609148773172294,0.04876379965545283,0.03056324643883733,1.5955045794313163
65,349,66,350,0,1,1.5187498328973215,87.01795556121556,37.65995387485872,34.14345289742984,0.04794978588224497,0.0,inf
24,165,25,166,0,0,1.4982686885769472,85.84447243205977,31.125646422466378,28.294957444761465,0.04745146408137675,0.011495781288533336,4.127728502342683
248,480,249,481,0,0,1.5373664030009784,88.08460645716453,37.91349785655896,34.288582953695176,0.04618875937549566,0.01168677778592981,3.9522236343968307
367,444,368,445,0,0,1.487663408714153,85.23683465536658,28.220842383856006,25.689529473512465,0.04552970295888977,0.015476990928153798,2.9417671154712544
156,376,157,377,1,0,1.383864873458061,79.28961666555263,21.415837411396094,19.747403686721327,0.04540085575549938,0.006100013066122081,7.442747296336818
258,372,259,373,1,0,1.4554869425323664,83.39325894350479,25.585185042765673,23.385875107161528,0.04534766584610106,0.002919499341232204,15.532685760758426
378,498,379,499,1,1,1.549496096075611,88.77958667713003,39.57038213053401,35.72891731134767,0.045063008458020734,0.015502084553174247,2.906899927132285
74,299,75,300,0,0,1.288671718891116,73.83545067033019,16.97842140622212,15.82775091961163,0.04396288454769137,0.029936890960237765,1.4685187117821605
297,450,298,451,0,0,1.435086351243903,82.22439116310447,23.33221375784338,21.380959884232354,0.04328398953451817,0.02186209611216892,1.9798645707364424
253,444,254,445,0,1,1.5676079702924977,89.81732062882945,36.53954001927694,32.91146109479978,0.04315714333892098,0.014338726967367014,3.0098308892512384
355,503,356,504,1,0,1.5747943921519802,90.22907227117835,38.57558629144247,34.711238476719906,0.042841717217110324,0.019820150913611553,2.1615232600317205
452,458,453,459,0,0,1.5832562237933945,90.71389951118165,41.281666915201974,37.10307166337096,0.04203243978150711,0.0,inf
342,385,343,386,0,1,1.4551121538848315,83.37178513579163,23.873848925352288,21.8226746862155,0.04191201581475269,0.0037181525877533436,11.272268909242804
184,242,185,243,1,0,1.5880553718462307,90.9888704398676,38.119836474528974,34.238598774156706,0.041638277310550545,0.0,inf
286,494,287,495,1,0,1.2938321578859624,74.13112204516962,16.321323542582096,15.20649543799612,0.04007567412123248,0.012924106167553243,3.100846867216621
106,357,107,358,1,0,1.5998449118621132,91.66436132517826,36.043326862598065,32.320573743056116,0.040073916536318796,0.009155479139960709,4.377041979311502
117,334,118,335,0,1,1.6113940073005444,92.32607575099416,39.90914966133265,35.72932634054252,0.03983818172250379,0.006770062120908499,5.884463245834702
175,355,176,356,1,0,1.5928213423271924,91.26194043371063,33.811496617109825,30.348882964704927,0.03962242088076976,0.0,inf
23,95,24,96,1,1,1.23329432987111,70.66255999902974,14.282174721249573,13.394087218056498,0.039410510219164384,0.0009080898176054668,43.39935263571788
273,374,274,375,1,0,1.5381654926572899,88.13039092192372,26.786643828948762,24.22298480873131,0.03764285935624568,0.030571817907618565,1.2312928027372883
10,297,11,298,1,1,1.6012792195345038,91.74654110132947,31.56173469063734,28.29620501468213,0.0371242426825453,0.025866104977104284,1.4352467337237786
211,394,212,395,0,0,1.255591612355119,71.94010017997442,14.52786153168651,13.592186780908337,0.03710428377517652,0.0003810170513288033,97.38221333080689
227,313,228,314,1,0,1.6705920015317641,95.71787097608285,38.59621693655759,34.26199524142697,0.03502864639452509,0.0,inf
171,435,172,436,1,1,1.6713728543939101,95.76261054950452,37.77531620746878,33.52945107617025,0.034743444960993894,0.00438306122557908,7.926753283352474
50,216,51,217,1,1,1.669416390511035,95.65051342624601,36.83782573759058,32.706682310117586,0.03456622925039642,0.005402445967350137,6.398255430836067
343,476,344,477,0,1,1.5986893302871383,91.59815137804912,28.8916332466652,25.911717820047414,0.03448565651163811,0.008053106760945365,4.282279812665714
111,485,112,486,0,1,1.4062491460950257,80.57214101512089,18.619693340216056,17.12296093379975,0.03337474265484119,0.004317258001457178,7.730541617752845
431,503,432,504,1,1,1.575273768497354,90.25653851256668,24.802387583007835,22.31631778980196,0.030398739366961337,0.0,inf
276,384,277,385,0,1,1.7031612353622718,97.58395061654564,33.66317578597147,29.73948560648032,0.03017387586956594,0.0,inf
